epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,412.865,0.58235,0.33419,0.84538,0.99625,0.98485,0.99485,0.7375,1.0309,0.39516,1.01507,0.0001982,0.0001982,0.0001982
184,415.073,0.55459,0.33141,0.83942,0.99478,0.98485,0.99471,0.72791,1.03571,0.39564,1.02048,0.0001883,0.0001883,0.0001883
185,417.275,0.55438,0.32869,0.84238,0.99614,0.98485,0.99457,0.73593,1.028,0.40386,1.01658,0.0001784,0.0001784,0.0001784
186,419.49,0.54965,0.31683,0.83446,0.9976,0.98485,0.9943,0.72858,1.03001,0.39737,1.01587,0.0001685,0.0001685,0.0001685
187,421.693,0.55366,0.32199,0.8344,0.99701,0.98485,0.9943,0.72688,1.02487,0.39957,1.01652,0.0001586,0.0001586,0.0001586
188,423.881,0.55882,0.32572,0.83619,0.99747,0.98485,0.99417,0.73282,1.03705,0.40676,1.02194,0.0001487,0.0001487,0.0001487
189,426.186,0.5099,0.30663,0.83173,0.99778,0.98485,0.99404,0.72347,1.04847,0.40319,1.02695,0.0001388,0.0001388,0.0001388
190,428.401,0.53516,0.31608,0.83839,0.99839,0.98485,0.99392,0.73042,1.04454,0.39961,1.02469,0.0001289,0.0001289,0.0001289
191,450.814,0.52721,0.30526,0.83522,0.99667,0.9697,0.99286,0.72444,1.03952,0.40546,1.02511,0.000119,0.000119,0.000119
192,453.057,0.53112,0.31498,0.83638,0.99494,0.9697,0.99237,0.71642,1.04895,0.41184,1.02954,0.0001091,0.0001091,0.0001091
193,455.245,0.51418,0.30433,0.82112,0.99327,0.9697,0.99172,0.71634,1.04606,0.41885,1.026,9.92e-05,9.92e-05,9.92e-05
194,457.409,0.4995,0.30312,0.81723,0.99253,0.9697,0.99156,0.72586,1.0333,0.42077,1.01766,8.93e-05,8.93e-05,8.93e-05
195,459.601,0.52668,0.31038,0.83456,0.99381,0.9697,0.99193,0.72725,1.02964,0.41842,1.01452,7.94e-05,7.94e-05,7.94e-05
196,461.942,0.48768,0.29259,0.80273,1,0.96774,0.9922,0.72234,1.02334,0.41835,1.01044,6.95e-05,6.95e-05,6.95e-05
197,464.209,0.51235,0.30953,0.81965,0.98972,0.95455,0.99204,0.72306,1.02569,0.41965,1.01191,5.96e-05,5.96e-05,5.96e-05
198,466.356,0.49774,0.30042,0.81591,0.98821,0.95455,0.99226,0.7244,1.03554,0.42601,1.01335,4.97e-05,4.97e-05,4.97e-05
199,468.519,0.49487,0.29213,0.81621,0.99691,0.95455,0.99265,0.72562,1.03848,0.42769,1.01489,3.98e-05,3.98e-05,3.98e-05
200,470.69,0.50405,0.29379,0.82132,1,0.96466,0.99269,0.72644,1.03981,0.42596,1.01767,2.99e-05,2.99e-05,2.99e-05
